,a,b
48,"[900.8410170393671, 1239.231082321804, 1338.2913648661518]","[-2.966208971779295, -4.095233946985825, -4.410484010041679]"
49,"[-96.85535201332435, 1784.0735827378103, -197.70423223861886]","[0.331222042336424, -5.901290333635268, 0.6513387854609654]"
50,"[-424.7304460554488, 1480.3207036005813, -1329.4870889356066]","[1.41533734183064, -4.899144834040472, 4.383193883559328]"
51,"[nan, nan, nan]","[nan, nan, nan]"
52,"[nan, nan, nan]","[nan, nan, nan]"
53,"[nan, nan, nan]","[nan, nan, nan]"
54,"[nan, nan, nan]","[nan, nan, nan]"
55,"[961.3855543875028, 647.1091845798085, -1560.460340238455]","[-3.154889741486435, -2.147704892823932, 5.128367807369639]"
56,"[2205.2578011301116, -211.56613130396065, 2527.8631395195466]","[-7.262825709282541, 0.6817888601541483, -8.331527217693754]"
57,"[nan, nan, nan]","[nan, nan, nan]"
58,"[nan, nan, nan]","[nan, nan, nan]"
59,"[-1356.0872680970483, -559.2274307965754, 181.06774032888447]","[4.49097545979944, 1.8413194775037398, -0.6100772042064989]"
60,"[-1445.0590218080217, 380.2928348834512, 276.16948768252007]","[4.788874053629009, -1.261349726975151, -0.9249835884904402]"
61,"[-223.18240475285106, 973.5511323623583, 1669.6426005266057]","[0.7448418978866368, -3.220761946555055, -5.532612142491594]"
62,"[-3927.8012860817576, 4292.3084906974545, 747.5820446253455]","[13.001519838734561, -14.193533456291163, -2.4756192689257968]"
63,"[-1204.4044409270837, 31.883355823339166, 1725.058029497892]","[3.994141601858792, -0.10037979902865757, -5.710904302582783]"
64,"[-1418.264916462588, -3542.040535427667, 1591.295667407788]","[4.702036349536421, 11.720522843437577, -5.262110050720942]"
65,"[288.2997621352503, -189.80640805481417, 1334.8811025963657]","[-0.9406171360108604, 0.6333081559096182, -4.414459679487126]"
66,"[1243.832391807445, -598.7032950304466, 915.1824519656896]","[-4.10219898801644, 1.9801614492506365, -3.0288384499070977]"
67,"[596.0995485898409, -481.9238207235378, 1250.1417797248444]","[-1.961119694318348, 1.591419682299536, -4.1355088892257985]"
68,"[652.1453104127396, 588.4301685050176, 1114.696346366494]","[-2.1491946710582783, -1.9399015106405784, -3.6976570930922583]"
69,"[463.6074073038435, 357.53140594521057, 2543.504718442215]","[-1.5280929273413821, -1.1783973995768986, -8.408205298227717]"
70,"[36.221851152086295, 757.9417666213598, 4322.733116811047]","[-0.1164142552759231, -2.4972686995443785, -14.27332880004343]"
71,"[-125.59666926300926, 1511.4487443990777, 3007.751396413623]","[0.4180831630411894, -4.982569209596288, -9.931472928011969]"
72,"[-452.1872142108837, 1684.4629914899872, 3446.64436281951]","[1.4960723658443447, -5.555130428043958, -11.379316002968471]"
73,"[-525.4213088069531, 1608.5490501944666, 2029.8943124580937]","[1.7393842320394148, -5.306312825451683, -6.693993453533506]"
74,"[-578.2083137919635, 547.8094240580988, 1301.3273651566021]","[1.9147808521874254, -1.8093103094453162, -4.286479052611609]"
75,"[-699.2884171672393, 910.8079740081726, 1030.90657770715]","[2.3154209081794157, -3.0084659201347064, -3.392752798679075]"
76,"[-972.6484523819631, -811.1501758699229, -41.196370411727074]","[3.220152392106359, 2.675528925437531, 0.14469073315105246]"
77,"[-1087.0736145720741, 709.8920824998108, 230.884730980163]","[3.601683892578886, -2.3534134624323597, -0.7532565160462971]"
78,"[-1458.7254761186935, 1145.5971920278412, -117.7860042290811]","[4.831469155413223, -3.7964407563809863, 0.3984077341720066]"
79,"[-1707.8523731060916, 764.0579933344169, -1047.3538284482713]","[5.6527990985840315, -2.5362601791412183, 3.4692420656189347]"
80,"[-1802.8367397822321, -2356.9149115317623, -2445.2673143664097]","[5.966584086830473, 7.785023341409316, 8.086432842654528]"
81,"[-1733.3181362535704, -2540.2004960472455, -1956.1958100735667]","[5.736056877684686, 8.391183883671685, 6.471834952141098]"
82,"[1058.236582251777, -2645.485518291345, -2207.4839983472143]","[-3.495528758386982, 8.745440836014602, 7.305755422483248]"
83,"[-87.53561212601821, -2905.489059820235, -2606.7618409125007]","[0.29757813726805266, 9.605468733623818, 8.630362830356393]"
84,"[221.2827082779626, -2621.0511335820765, -3401.7453460648812]","[-0.7221000513840935, 8.66643970431777, 11.264275890580398]"
85,"[-487.4687464022177, -2907.054637914843, -4456.94745344414]","[1.6236195851891613, 9.61886640520221, 14.767344877892826]"
86,"[-959.7663272932261, -4415.55862872666, -1259.8829780484498]","[3.1863760290765417, 14.617802402962674, 4.177956135471616]"
87,"[-1482.7339165891678, -2354.2854753736806, -1346.8508405741272]","[4.920086268016474, 7.792714755541986, 4.463982350629253]"
88,"[-1473.851611223831, -3017.2161771465867, -1512.4931660531095]","[4.889724112879862, 9.995096748473488, 5.014364445164125]"
89,"[-727.6246133385046, -657.5509233019372, -453.7920259395274]","[2.4183147782422814, 2.1750138514522512, 1.5048896803988745]"
90,"[-660.9958790659077, -1365.528980961689, -1941.4583096898864]","[2.1997877808974104, 4.527633710487426, 6.443644698315202]"
91,"[-822.078755625302, -1955.4543795180543, -1129.9685868543365]","[2.7380695235119425, 6.491767852519516, 3.753767475217016]"
92,"[-538.0507379898273, -3153.3136329379527, -1669.8387188208203]","[1.7949960489675032, 10.483586929769647, 5.549894488333467]"
93,"[-189.03114120024418, -787.5538950227856, -2213.4129486266506]","[0.6338008280025759, 2.6170410207876817, 7.36252644980458]"
94,"[-191.4618279497829, -1442.5908586157218, -1604.4571616743424]","[0.6421236596201482, 4.80149814931883, 5.343188459425366]"
95,"[-27.447461803882806, -1479.109305230167, -552.6782988336931]","[0.09582918075926611, 4.92630047185321, 1.8429011451969997]"
96,"[-184.8153775309118, 1005.3177741884281, -417.7713094446311]","[0.6226126375488693, -3.3595370327067253, 1.3956474863602522]"
97,"[115.07078332610749, 996.9008993511823, -303.7013592963526]","[-0.37923688836801367, -3.335305647667392, 1.0160890752953207]"
98,"[-49.39015531609619, 891.0855952474108, -1087.3835243777712]","[0.1706561423161929, -2.984740100629836, 3.637083953113561]"
99,"[-49.95557270875147, 313.92243618468837, -1543.5299048957206]","[0.1727011180437139, -1.0547508508010928, 5.168702975496079]"
100,"[-14.159987066224721, -1424.8204030045038, -1405.3023882022198]","[0.05217017658981201, 4.774077595732535, 4.709831234526053]"
101,"[178.84844920512649, -623.3591007186717, -2189.2583484878614]","[-0.5960721334557044, 2.0903121944428644, 7.343359265963112]"
102,"[166.07355037724366, -1168.5388357585741, -2913.3752563705893]","[-0.554309302732697, 3.9262540625895004, 9.782607815770088]"
103,"[155.64346633146195, -1064.5486711584092, -1799.7308515676436]","[-0.5188822555378466, 3.5781418436110433, 6.04809181462555]"
104,"[221.01019342109177, -2694.4988523403517, -2196.250072972457]","[-0.7406750447596746, 9.06984429190635, 7.385083066852706]"
105,"[457.1727319297129, -1678.4282894308071, -2174.2103290630307]","[-1.5384856639897717, 5.652718588452512, 7.3164674931543505]"
106,"[587.4454052697065, -1164.4757993663745, -1891.5809072823156]","[-1.9816276770355923, 3.924319922751159, 6.365561276548212]"
107,"[638.6829697582318, -1212.7345201954518, -589.0530223813072]","[-2.156307403458044, 4.08880858662251, 1.9828629053966411]"
108,"[647.0893452511, -1014.9487515347962, -2473.075239661277]","[-2.1864048308235784, 3.41758135852852, 8.321226552568936]"
109,"[647.3395609077663, -1422.8350999417305, -740.7959925925863]","[-2.1889804801152937, 4.796386103425914, 2.4935699222730086]"
110,"[383.3489511240281, -601.6017329429973, -814.8637539142935]","[-1.2970253854975953, 2.029250332989342, 2.742374757645242]"
111,"[-4.153902774759205, -517.7141650688008, -869.7473329581518]","[0.015075220568458841, 1.7467558529068143, 2.9216732052074885]"
112,"[-287.2231320330737, -719.7968070713476, -478.34704121724013]","[0.9691792116316977, 2.427285499555714, 1.61002074766698]"
113,"[-670.5270364431433, -149.97254784583146, -78.63893416243648]","[2.2678807489379724, 0.5085003166456444, 0.2680502331526074]"
114,"[nan, nan, nan]","[nan, nan, nan]"
115,"[nan, nan, nan]","[nan, nan, nan]"
116,"[nan, nan, nan]","[nan, nan, nan]"
117,"[nan, nan, nan]","[nan, nan, nan]"
118,"[nan, nan, nan]","[nan, nan, nan]"
119,"[nan, nan, nan]","[nan, nan, nan]"
120,"[nan, nan, nan]","[nan, nan, nan]"
121,"[nan, nan, nan]","[nan, nan, nan]"
122,"[nan, nan, nan]","[nan, nan, nan]"
123,"[nan, nan, nan]","[nan, nan, nan]"
124,"[nan, nan, nan]","[nan, nan, nan]"
125,"[nan, nan, nan]","[nan, nan, nan]"
126,"[nan, nan, nan]","[nan, nan, nan]"
127,"[nan, nan, nan]","[nan, nan, nan]"
128,"[nan, nan, nan]","[nan, nan, nan]"
129,"[-446.1900942076646, -497.50551799545724, -1112.809390551651]","[1.4819982488668564, 1.6476715492005345, 3.6859923824424756]"
130,"[-258.7707496632169, 466.79643692144884, -1287.2097598056246]","[0.8594796784108897, -1.5509985412873888, 4.268244574324289]"
131,"[-416.68825212895786, 167.82087999266295, -1193.9582337529125]","[1.3865727715002722, -0.5589656655668714, 3.9624617947346645]"
132,"[-174.6740572680594, -2287.4824320608213, -1364.4732667662227]","[0.5819875125042326, 7.607254630720066, 4.532891276082375]"
133,"[-411.2140343604718, -3419.007776846094, -1118.0718200184383]","[1.3736941908437743, 11.384852510616778, 3.7171522213119292]"
134,"[-570.0534710752139, -2496.3237427798226, -1827.6495971922868]","[1.9070352530109607, 8.31961812201535, 6.082567467668289]"
135,"[-358.13427434692534, -2956.022884863224, -2387.175955171143]","[1.1998671360490163, 9.859434510816557, 7.9513166478817885]"
136,"[-391.45344486151924, -2733.379464100976, -797.9634039700912]","[1.3132232704358484, 9.123997898416297, 2.6629888968324638]"
137,"[-295.60143891592753, -1809.7094486629899, -710.4766861686026]","[0.9935058651919257, 6.0426795764074415, 2.3727356889467894]"
138,"[-262.5470631898382, -404.78237365200573, -2048.138039985337]","[0.8835629862662508, 1.3492208205940959, 6.841200218408786]"
139,"[-120.95610240507854, 159.4977359484683, -285.5288309587741]","[0.40879942511902473, -0.537405317655559, 0.9554895452389982]"
140,"[-55.19272400802931, -292.6277646365811, 1026.3592415454534]","[0.1888515857522721, 0.9751345670378216, -3.4288613532981334]"
141,"[-93.73665070488612, -809.6692907303753, 810.5151150802625]","[0.31844610480459923, 2.7060925505360784, -2.711077487393422]"
142,"[-177.52070554980773, -1536.482823854166, 2084.4256444579814]","[0.6002807315016747, 5.143682049074657, -6.979664963602856]"
143,"[-64.40484579316903, -1494.664090501259, -272.72048513684337]","[0.21733066740805093, 5.006060549571072, 0.913563664446098]"
144,"[-84.88577764806625, -26.100242305919764, 2470.437118746485]","[0.2803499035240167, 0.08187329856476556, -8.268624886566066]"
145,"[175.77301320416336, -527.7270724732241, 552.6265749061224]","[-0.5972433860677944, 1.764756922542912, -1.8514977710865514]"
146,"[35.430417638899776, -1885.7494207101615, 1159.45764244034]","[-0.12524786362945406, 6.311870653319706, -3.880866579580104]"
147,"[138.55505421493035, -2054.6367785652687, 606.909807997896]","[-0.4682958201819509, 6.8711618341652185, -2.0302440392229557]"
148,"[-165.09573610917508, -992.1355587276423, 308.6547770128735]","[0.5510811805118707, 3.317685647963976, -1.0320507953638283]"
149,"[-406.3897231721877, 252.45228767335553, 665.7993903869574]","[1.3563035499349314, -0.8400396353680532, -2.2077914840729504]"
150,"[nan, nan, nan]","[nan, nan, nan]"
151,"[nan, nan, nan]","[nan, nan, nan]"
152,"[nan, nan, nan]","[nan, nan, nan]"
153,"[nan, nan, nan]","[nan, nan, nan]"
154,"[nan, nan, nan]","[nan, nan, nan]"
155,"[nan, nan, nan]","[nan, nan, nan]"
156,"[nan, nan, nan]","[nan, nan, nan]"
157,"[nan, nan, nan]","[nan, nan, nan]"
158,"[nan, nan, nan]","[nan, nan, nan]"
159,"[nan, nan, nan]","[nan, nan, nan]"
160,"[nan, nan, nan]","[nan, nan, nan]"
161,"[112.80163577624664, 511.3776379914045, 2438.3590605040868]","[-0.3608828673834656, -1.6924543854202678, -8.065130112318238]"
162,"[1069.8361174236838, -195.74165139046937, 2339.788290176011]","[-3.5329928321403745, 0.6446112160916383, -7.738910222345308]"
163,"[1676.1391917325234, -616.0271221780657, 3534.690337818951]","[-5.53966931681052, 2.0314558147124813, -11.688164047961832]"
164,"[701.0057625132845, -412.81063654304427, -5210.482286551898]","[-2.3044162927438157, 1.3606067735983243, 17.28316311677859]"
165,"[1074.4857093659064, -161.52472045117676, -246.73993418561636]","[-3.53975703807901, 0.5281967885261404, 0.8198657330821314]"
166,"[1506.6389702234464, -209.010467256241, -1503.289723214143]","[-4.969562442777247, 0.6846977450950963, 4.972322340169444]"
167,"[1461.4520893142976, -32.705461088694406, -906.0541181153103]","[-4.820931707365518, 0.10301300615873382, 2.9939592761640275]"
168,"[1448.827160774643, 227.27293448994462, -397.52491769977263]","[-4.779908728217031, -0.7562862229039028, 1.3139767465917718]"
169,"[991.8272899185205, 423.49440379412215, 576.5300541343868]","[-3.260490028589315, -1.4061236668758035, -1.907146050058705]"
170,"[966.2211184119335, 225.1607866170421, 1201.7947104428938]","[-3.1731887892744757, -0.7479028454900365, -3.9709989616140686]"
171,"[1397.6400572493362, 2255.7218858260558, 1248.5861466193405]","[-4.600294995807293, -7.471701204831195, -4.124252865715449]"
172,"[2173.214699418129, 3496.2353347233566, 1377.316919248001]","[-7.166011831099515, -11.578226797349828, -4.54593460763987]"
173,"[2261.1154755730604, 3482.0450673200967, 744.1990914157391]","[-7.457710906196087, -11.534025126065757, -2.454825821340578]"
174,"[2588.495953541676, 1519.1552075730067, 645.100387555768]","[-8.543163821615373, -5.0308141086682, -2.128964440924861]"
175,"[3970.7614497304394, 207.71512066798675, 274.86056683225473]","[-13.116440186884166, -0.6860921035643887, -0.906650492359359]"
176,"[3270.058426403003, -587.3332402206911, 275.1858117122026]","[-10.796114512178564, 1.9448712033404592, -0.9072256831270099]"
177,"[1795.0400468128553, -2616.082746208622, -155.25476296803078]","[-5.91773655234825, 8.658008311892925, 0.5156449421591444]"
178,"[-144.55752289914994, -3687.4943104751974, 140.79537579687505]","[0.4926944929470513, 12.196011421880243, -0.4635220155135034]"
179,"[-720.9354962916447, -3321.102802966631, -441.3789375854978]","[2.396735715752316, 10.987309405070699, 1.4618238520998683]"
180,"[-216.18793917577048, 3321.632878563296, -638.7668469732278]","[0.72328795907601, -10.99979865238506, 2.1146786213746]"
181,"[404.3610678382435, -1128.0244667511765, -691.4182611234821]","[-1.3359475154223086, 3.7240823020417664, 2.2881781119326527]"
182,"[828.4929943365001, -1420.6715829558304, -1047.790061909941]","[-2.7425750810632032, 4.694105719957403, 3.46705478791165]"
183,"[992.6878868743681, 1701.161246477066, -202.8003083619734]","[-3.2870179015092043, -5.63260887907354, 0.6708998028797664]"
184,"[1275.9746107348333, 2669.993638624118, -1132.4490176145864]","[-4.218484439702737, -8.838500929797632, 3.7439306397368126]"
185,"[1537.2913388576737, 3493.478508981561, -637.5186415540245]","[-5.08850521076814, -11.575252275810374, 2.1075646658477956]"
186,"[661.5112767650719, 1542.8573101188053, -1604.1990078660451]","[-2.1860355265367963, -5.1096294098977575, 5.300880776642483]"
187,"[1099.967448995749, 1574.1038445294482, 29.80390142829183]","[-3.6353264514282513, -5.218461419047696, -0.09841350010642534]"
188,"[2632.701945228881, 406.0702095302938, 982.8702501727919]","[-8.710943775940466, -1.3527237464038673, -3.243960095018759]"
189,"[3062.8903144091714, 696.4338598612976, 1198.370760181037]","[-10.135803619029417, -2.3125211707823023, -3.9525862593201313]"
190,"[3070.4309330749916, 3299.4336768955313, 1997.3665940476296]","[-10.157892666467397, -10.91223644286387, -6.59089095154337]"
191,"[700.4283598871675, 4265.461846122505, 2420.40930000279]","[-2.3044776715218775, -14.08689968861343, -7.9901587117915245]"
192,"[1133.6196218541863, 4815.476043587205, 1870.0528240288772]","[-3.7337585968063407, -15.897486660445548, -6.168803080422401]"
193,"[740.9727202400694, 3198.9775080329864, 1767.9542197821577]","[-2.4327951870413336, -10.573383820535744, -5.830921599236867]"
194,"[-574.3307758749895, 2724.6904646329754, 446.4267392872961]","[1.9166177081173874, -9.011066257426753, -1.4721289839638552]"
195,"[-1579.7170180688731, 2240.285162457904, -109.94658076905526]","[5.244215194855741, -7.4121058405376345, 0.36181297317134886]"
196,"[-1820.2526339257813, 2346.7843231362153, -517.4428506863285]","[6.026965555302865, -7.754797101659178, 1.7022206427408406]"
197,"[nan, nan, nan]","[nan, nan, nan]"
198,"[nan, nan, nan]","[nan, nan, nan]"
199,"[645.8917220937002, 1738.1963479301662, -1292.4967375986785]","[-2.1193301740736303, -5.755917449248999, 4.261713584081745]"
200,"[1111.6667242145918, 1129.4135457353975, 1345.9789318649553]","[-3.6584842124841908, -3.7488410425028293, -4.448376158677168]"
201,"[nan, nan, nan]","[nan, nan, nan]"
202,"[1851.3743796024517, 1306.1344577060827, 561.1749638451515]","[-6.116288203331512, -4.327698382374924, -1.8524923640881337]"
203,"[2521.4470924937505, 1753.339209823602, 1021.67854187699]","[-8.331883397529971, -5.8058029819220645, -3.3815799417334698]"
204,"[3328.8414673014636, 1849.5463463119356, 1484.3921676173884]","[-11.00413111855719, -6.120970658934151, -4.91200354172417]"
205,"[2992.516698473237, 2081.292398950791, 763.7842178706836]","[-9.880123415797406, -6.885585323510691, -2.5290334711807962]"
206,"[1138.117386690192, 2278.954629870427, 2685.9595555785727]","[-3.748680550215399, -7.531747786673507, -8.884125740717398]"
207,"[2838.66524135264, 1932.5044182641343, 2541.649491596313]","[-9.372704942545939, -6.379726302969421, -8.400817229713299]"
208,"[2039.2591538388356, -901.2557687391945, 2424.283435878643]","[-6.732576539146005, 2.9828331061940054, -8.014932162690604]"
209,"[1091.4060318453344, -184.7846311704499, 2284.2159120251135]","[-3.5990440092164486, 0.6152559772548181, -7.549314630920352]"
210,"[520.4604045044385, -146.99692219678607, 1347.2694274906187]","[-1.7138412735736894, 0.4908902763063674, -4.454585928095288]"
211,"[227.60344946759304, 662.0556848253534, 1561.9704256811344]","[-0.7456858731148296, -2.178968311609191, -5.166881261974151]"
212,"[-1629.2484297888814, 698.162567597782, 1507.8913211087051]","[5.380805303246101, -2.2979764138934073, -4.995332230848831]"
213,"[-950.0498956798398, 1042.7500317283261, 2165.087858899971]","[3.137492292926064, -3.435714529464647, -7.157426646511824]"
214,"[-1226.780378321558, 2562.9419662149644, 3414.64843578872]","[4.046707840852364, -8.452955050851221, -11.276192521336714]"
215,"[-1467.1817952383844, 2619.214570321154, 5157.847466305755]","[4.834728818479366, -8.633855147017467, -17.02406408117858]"
216,"[-170.2396827937409, 1317.7378515191813, -776.8856096902852]","[0.560037163116988, -4.3449724911001955, 2.5745078221428566]"
217,"[504.69509001193734, 3394.1668772321473, 989.712175150398]","[-1.6634384359140846, -11.201723016033178, -3.256065877596387]"
218,"[129.41764048913794, 608.4540425190473, 3326.72048245727]","[-0.4236371089775987, -2.0099205008720094, -10.961217385227933]"
219,"[226.6222749547155, 1069.2553211148931, 1792.1137786224672]","[-0.7430405061576212, -3.532673492331079, -5.8992049579228905]"
220,"[-990.367875801729, 667.8455474696336, 1314.7091399404947]","[3.2740767903283694, -2.2116940062732753, -4.324628319277164]"
221,"[-865.9463710103573, -12.623758515835048, -1722.5997917635798]","[2.8636944566070666, 0.03351010903750061, 5.695173081460828]"
222,"[-1165.3243814767943, -160.57910459221364, 1187.8575624623138]","[3.8540071305162025, 0.521300018461919, -3.9130025682515632]"
223,"[472.6410503850316, -1217.708554993009, 1001.0771121595809]","[-1.5555165095879904, 4.015218339399657, -3.299145133614846]"
224,"[-152.1838674532258, -1797.0329729727378, -2872.663539823506]","[0.509545650088925, 5.931920546723557, 9.497236601880216]"
225,"[1023.5346868336719, -1970.271442563311, -1747.8512424233036]","[-3.3772952128628915, 6.5067158784681185, 5.785026935165806]"
226,"[1558.2126440310278, -2134.7276043171223, -392.98925431995747]","[-5.147731001455308, 7.053173936687033, 1.3083287372334138]"
227,"[1279.6614466694805, -2295.9832230097068, -184.9176111160379]","[-4.226812756219067, 7.587983740543069, 0.6198765967352406]"
228,"[957.1184349149264, -3319.058685126796, -3879.8022481541675]","[-3.1597806760794773, 10.979250672050687, 12.848191299786627]"
229,"[120.94654780685994, -2977.8983355194455, -637.2541356660056]","[-0.3941936377476307, 9.853576278447807, 2.115301499347337]"
230,"[-1568.6321071756206, -259.3024416432874, 567.1430675682366]","[5.198414738065526, 0.8547198643016084, -1.875946096434607]"
231,"[-1022.8616991298094, -2295.463189156835, -310.9987813501727]","[3.391395078710848, 7.600402390735502, 1.0314692512105075]"
232,"[-1130.9596015488517, -2400.4473725608204, -3261.2815525355336]","[3.7519868189104963, 7.9526632209400505, 10.814032268981093]"
233,"[-786.5376449216577, -1271.2758008400685, -1869.3396021979665]","[2.6131995146783464, 4.21334045945657, 6.201948111860136]"
234,"[-104.11686473465481, -655.4419064268399, -2322.578864880708]","[0.34835470823807824, 2.171752948578902, 7.707147794487825]"
235,"[-185.07600123809294, -2522.4081318793546, -2756.0104831256244]","[0.6178221882229142, 8.374317304985166, 9.155858526397175]"
236,"[128.4465045789361, -697.1293930882064, -1960.5831373669862]","[-0.4247919230323879, 2.313601319845832, 6.519639358604397]"
237,"[395.57114812458997, -2913.438105098381, -1371.827816687174]","[-1.3147913733094079, 9.690408924017108, 4.567023478938148]"
238,"[431.7605671392716, -1589.596434316399, -1017.7913936617242]","[-1.4369585471165776, 5.288868181066613, 3.3913766715138176]"
239,"[523.2556571321088, -1824.3091435329873, -655.0623629376445]","[-1.7428077455997841, 6.076571557284941, 2.1858559595131672]"
240,"[767.0068498988243, -1065.990762645489, -623.6070712834834]","[-2.558591086918503, 3.5528012501435007, 2.0827018648202054]"
241,"[457.5698073307175, -1533.8176426287982, -745.286168467596]","[-1.5273010881959554, 5.118286154745117, 2.488443200175086]"
242,"[247.8067700767359, -442.74443952604923, -852.8293248988688]","[-0.8262109783488298, 1.475306127624877, 2.849097951577266]"
243,"[285.51864270415194, 595.2777471555594, -2032.6309336053653]","[-0.952583814273546, -1.9957033812085825, 6.799266169537417]"
244,"[189.25898044852477, 1897.0389862102738, -2217.2137948407644]","[-0.6317797106354521, -6.360026190518112, 7.424344855967739]"
245,"[-138.5765830794306, 1505.0071456599421, -1517.0609226477825]","[0.46776616578087216, -5.048009298770435, 5.0827396795527084]"
246,"[-283.1252181202054, 633.0439582836887, -1685.5765744747882]","[0.9535869334719503, -2.126781904968736, 5.649138896999394]"
247,"[-432.63847410069474, 79.79524545841072, -2010.0260534600382]","[1.456642026169388, -0.26965241693379655, 6.734463479759299]"
248,"[-80.01497194016476, -305.8497124001141, -1882.117341259291]","[0.2689398153585649, 1.0246943796835946, 6.307588560233462]"
