,a,b
28,"[3475.7795458835026, -829.8343255567581, 3991.172605681869, -1640.1826540157458]","[-11.67839249487753, 2.7752158431935294, -13.326140545987869, 5.439670779161616]"
29,"[-617.3941720516464, 336.0805323771228, 1987.1147049824015, 3852.910766070267]","[2.0609049045717223, -1.1247467706554988, -6.639219695642643, -12.790367350743317]"
30,"[-2186.0378203146256, -692.7330513002681, -496.12645771076114, -3779.132250435025]","[7.31119028785585, 2.3183266051575493, 1.6290236721383762, 12.558232288376018]"
31,"[1932.703477744371, -1921.6756411719143, -3229.830232129862, -776.2102881582008]","[-6.48664887694509, 6.425452635086249, 10.735436853432777, 2.5817387039907835]"
32,"[-639.9667400030112, 1657.7890180627676, -2182.829795316525, -2691.9292929138574]","[2.134553605279798, -5.529944440640298, 7.252127212627348, 8.943450542843513]"
33,"[-23.095474997905416, 3828.774410501649, -11.71183360321326, -4734.230582509359]","[0.06855366874456527, -12.78308440672991, 0.019839965277719446, 15.72943975343104]"
34,"[134.1395747721252, 880.7571044287613, 2951.6649174877048, -146.75634034755683]","[-0.45843305097288845, -2.930849375275128, -9.822794342672942, 0.4911497379820317]"
35,"[3537.373534626963, -3741.3846013125217, -152.71094248099234, 880.5222193204494]","[-11.841140734855482, 12.4859065534469, 0.49826779020546, -2.919767947265297]"
36,"[-1480.714933220342, -4282.978268111584, -5435.839165033093, -1657.3591991600667]","[4.941887878769464, 14.287634207110557, 18.05708288306418, 5.50932327400919]"
37,"[-1144.6956765919476, -7021.505182937422, -3772.7719989931556, -852.9364679050974]","[3.808314791326323, 23.39486957139018, 12.550899884092253, 2.842016015015199]"
38,"[-354.4782116247443, 1093.9505377665569, -1776.401166303289, -399.5647288625345]","[1.171531893020405, -3.635876075177146, 5.92684121241241, 1.334651098458368]"
39,"[2527.890940019976, 2644.954926195004, 5288.458002631666, 9.461348955042494]","[-8.444150702244103, -8.820149724201155, -17.644934714336078, -0.02943413530107775]"
40,"[820.3127819177116, 2750.1032211448814, 948.4735492084516, 411.7607440798202]","[-2.7527996922879048, -9.163110703240543, -3.1613265030761117, -1.3724463293756621]"
41,"[5313.217486173033, 4351.053705074668, -5276.970533810798, 792.7698767644315]","[-17.742571310745387, -14.519121530415834, 17.639515816903412, -2.6411535923227087]"
42,"[6909.2091781943245, 7710.235361837105, -3857.5373795869964, 3400.1599013949085]","[-23.077093231731077, -25.741611867520138, 12.880703593798408, -11.326127750494107]"
43,"[3119.72517044956, -1493.2836783050845, -5975.549470476651, -2037.3486410443334]","[-10.431565718552498, 5.0002684229661725, 19.920874331580112, 6.769534748792411]"
44,"[4089.4882878160115, -8902.835215706957, -1242.329004578845, -189.9164576371627]","[-13.679471905923087, 29.770504232008257, 4.152079177324191, 0.6271723019752982]"
45,"[2791.685782082819, -5728.161599068022, -3192.630545125533, 595.3644949638914]","[-9.34337722377189, 19.119638352312627, 10.620592875781634, -1.9835056063163636]"
46,"[933.3733497775619, -2497.5444767586655, -1332.5322286121714, -1715.941210748227]","[-3.1253134910411307, 8.325680721662765, 4.437291740131032, 5.6662930959239315]"
47,"[2878.9014315153186, -2810.4394303407576, -1568.788629904855, -2689.78130670159]","[-9.617530484776564, 9.344737022159029, 5.203497297891279, 8.86625586157179]"
48,"[364.50553230786755, -2196.5152633625357, -1530.008878456172, -2496.992816188659]","[-1.218919821676511, 7.298269514546688, 5.057289567946177, 8.212474910683888]"
49,"[2535.4506298014558, -3681.680944170425, -488.04932644892045, -2644.9295047102346]","[-8.455509420929829, 12.236576100433217, 1.6215944853423252, 8.709644901444925]"
50,"[1008.3865418847761, -3105.0975513819367, -191.03461449024326, -1107.9552594716383]","[-3.3635342352979305, 10.297226183185114, 0.63678812812969, 3.6323664283564323]"
51,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
52,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
53,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
54,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
55,"[1006.5640849990687, -319.48072824851016, 1367.4865742719392, -1723.3042818875238]","[-3.3666816497724006, 1.07215888903676, -4.519522652740765, 5.66033308426988]"
56,"[1343.2460302666875, -479.14097696034986, 924.9476383432911, -164.44368725872792]","[-4.484142617890735, 1.6063437011243396, -3.0603687535001307, 0.5320462221870249]"
57,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
58,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
59,"[432.4052178699821, -2020.903956277161, -294.7769337121378, 1802.2197477622037]","[-1.439954507883296, 6.773199245443831, 0.9911417973796626, -5.975623214145973]"
60,"[3039.4427502907083, -1649.689703029268, -1107.601715145679, 2066.692493265361]","[-10.168964041129767, 5.527167095212374, 3.69912130947292, -6.850921034702755]"
61,"[1512.7893348160749, -931.0623660138748, 540.7391531966525, 3088.828652547022]","[-5.051441308303473, 3.1147544760247516, -1.7857597828054246, -10.226711145431567]"
62,"[755.9678972053471, -517.4974824376251, -553.2732881537285, 3910.636258681874]","[-2.5151163801369827, 1.729811000315181, 1.8513861417843986, -12.95429094503085]"
63,"[7.348684193439009, -1490.2410419596454, -5261.584257612207, 4066.822515403199]","[-0.01448968202861347, 4.962092278210394, 17.501315706675996, -13.45721952003208]"
64,"[-1745.9750682871374, -3086.7519535302913, -2816.31133053304, 1502.0027864569279]","[5.82902581024913, 10.283836062496015, 9.372697141650086, -4.964453200104476]"
65,"[-2462.8654484066597, -1341.3348542283443, 1873.523964702606, 1348.5301005519916]","[8.215998164622675, 4.467105706119323, -6.21005094862157, -4.444596237860388]"
66,"[-2717.101067001059, 37.10674825019363, -3955.673806543807, -35.04738195920043]","[9.061407781433008, -0.11902104263171062, 13.177482417860471, 0.13674731433457643]"
67,"[-1247.664604188204, -582.2505147667155, -7689.015463507723, 796.3957032508972]","[4.160794933541589, 1.9426680332653186, 25.582736543786314, -2.6117665622928605]"
68,"[-1330.5253835479214, -339.5999807971798, 689.0109148829945, 1248.977525347326]","[4.43908942449415, 1.1352479756205363, -2.2681129073196047, -4.106172650770037]"
69,"[-2268.786074506277, -1273.676623894416, -4391.050090556865, 747.3696273786876]","[7.567628862493551, 4.2416652416681515, 14.598030404054454, -2.4509953334631143]"
70,"[-532.0967095391295, -2096.488500584829, -5444.238846521112, 691.1959064134221]","[1.7781413155315642, 6.973047092564029, 18.088955232119485, -2.2709702851063924]"
71,"[-644.8369947196599, -2147.7813411126613, -3184.425530399823, 3621.0702524068756]","[2.1517717264051286, 7.137210731908186, 10.591137295443977, -11.982061087703594]"
72,"[-295.0511386768684, -2595.3618037167953, -253.47821514059967, -2097.0791798569976]","[0.9830073887343466, 8.625078881831552, 0.8578346473512226, 6.962498852454876]"
73,"[588.0275556075796, -1803.394419442635, -2923.3789700322227, 2842.129606577951]","[-1.9586830047582544, 5.98635063601878, 9.711659426857045, -9.40577783865432]"
74,"[2987.6457913604086, -1909.6606417302821, -4025.5165810158674, 64.89749032684178]","[-9.931084918844682, 6.336501010464152, 13.358774737955514, -0.2095499723424724]"
75,"[4476.205698654134, -1417.0312396324903, -3060.9655074846974, -344.0240082349789]","[-14.880160746290468, 4.703006875780575, 10.165997766957448, 1.1445110176102984]"
76,"[4920.048266200329, -2195.071197885557, -658.8902739770774, -258.82640856932164]","[-16.355392916466275, 7.2838544973612365, 2.1974111943913126, 0.8577348802569983]"
77,"[2251.182183927105, -2878.982015135932, -212.12848617623143, 523.5320519837315]","[-7.494304243403021, 9.557828319678, 0.7132116780862897, -1.7340354612242022]"
78,"[3876.269314326382, -2453.5599468043692, -1172.1148949458354, -65.60197491633342]","[-12.901204212706025, 8.136738915415904, 3.8922936736747857, 0.21783725034799947]"
79,"[3335.614889991019, 939.8558377675455, -1892.5781301502116, -480.77295395012777]","[-11.095403923066366, -3.1141876372727517, 6.289167914115831, 1.592800619510192]"
80,"[5328.52949352415, -3211.0308114995382, -2531.254582059702, -1136.2579852663748]","[-17.7115046629932, 10.658705182940373, 8.403485931513783, 3.760264452459239]"
81,"[5642.729348156979, -5242.410874948373, -1887.2638462596105, -1751.5888938557414]","[-18.739275354026763, 17.399439163770808, 6.269815490101551, 5.794866381913254]"
82,"[7309.403512253181, -3060.400085637155, -2574.0791235534484, -1500.7875587446242]","[-24.28116522089359, 10.162403184985354, 8.541312492049324, 4.967257151484734]"
83,"[10239.281339632362, -1872.420531079375, -3067.0869946195157, -1505.0182836593892]","[-34.032386647694025, 6.221555143785342, 10.17992883432635, 4.984542051237876]"
84,"[9402.864174367545, -1505.5452883122343, -3689.858911232029, -283.0076775266882]","[-31.265793909716372, 5.0059147963512025, 12.252863231131808, 0.9415009058522681]"
85,"[8292.188782281853, -1013.5087465339727, -2709.373812335397, 1426.9352587292453]","[-27.58393985187062, 3.370953562870914, 9.002778317892053, -4.7267392048862025]"
86,"[11256.457242504714, 196.17890101992828, -3618.230505945308, 2317.3075786303466]","[-37.49234748700298, -0.650692733836732, 12.023270433109893, -7.681868095178654]"
87,"[3768.858967086181, 1076.5120460671828, -3369.896305022971, 5969.821327250849]","[-12.550451784706773, -3.5796169562918765, 11.208572419760413, -19.808934960402283]"
88,"[10543.822883447554, 2050.2154149024586, -2684.7343994558328, 5383.641177495733]","[-35.160589425870626, -6.825472318430238, 8.935456119468208, -17.86485708221539]"
89,"[-5997.52558925852, 3021.02139485747, -3472.072369104305, 2990.4101571566107]","[20.045779287710534, -10.070019994463056, 11.569135983093261, -9.938465328949066]"
90,"[5512.276892263006, 3591.019449599805, -2242.776517094585, 5707.666751566881]","[-18.41434504748288, -11.985548850522623, 7.481361814768971, -18.983296275394178]"
91,"[4900.226984791718, 3275.763882447746, -699.1263162314024, 204.22272210867067]","[-16.37910535796645, -10.934983714335699, 2.3435476691691357, -0.6832732678581747]"
92,"[14988.82710833197, 1231.8491246416495, -190.81282198466127, 1775.101285341725]","[-50.175268512208625, -4.118143855740381, 0.6482779155752653, -5.926128057405636]"
93,"[12872.930987071528, -835.493607184596, 54.94615024524508, 164.25018634432755]","[-43.139371501825494, 2.802414181487513, -0.17253723310045868, -0.559222950052761]"
94,"[-29280.501463371907, 1797.4613815985556, -627.6813912705916, 9946.237582482583]","[98.22826422954391, -6.013259459948931, 2.1087060778800253, -33.262168578731]"
95,"[-13078.656471291491, 4299.0765002481285, -854.3996763290515, 6773.846624960708]","[43.92376727434483, -14.410704319022969, 2.8663593678235086, -22.687302843016806]"
96,"[-5631.764997216667, 6580.122965466299, 1589.5658347517185, 13823.41041378637]","[18.93260059852437, -22.090397971144203, -5.3218813303660895, -46.2999987881311]"
97,"[-6357.909889078558, 8370.166531805728, 87.73209441997568, 17369.42653388445]","[21.396212957557566, -28.132980620379595, -0.29134321432376575, -58.2180201370315]"
98,"[9009.853615085176, 4801.872097564783, -2604.031240159502, 13602.307419191096]","[-30.35405505142704, -16.139899426121463, 8.749823535191188, -45.67254904946083]"
99,"[5080.296808532595, 5771.590261446991, 1011.171399127227, 18252.72889146292]","[-17.130351219170148, -19.419097229818377, -3.3987727410716833, -61.336654112465276]"
100,"[9283.791840857371, 6499.996437640991, 1246.9278250739917, 9017.99834210122]","[-31.310634183094454, -21.89491593724416, -4.197940414504625, -30.34135542486047]"
101,"[5380.62724077587, 4372.820106398182, 2872.152635394082, 2392.801294345783]","[-18.158428207531376, -14.740934413089377, -9.687313038395699, -8.041412429579088]"
102,"[-720.151209877265, -8343.019959807418, 4058.536876718051, 433.99613332190876]","[2.4506133620931294, 28.22763817806641, -13.703700869534194, -1.4437981329589071]"
103,"[5249.280301495731, -10520.851795907727, 3543.9877871589088, -2188.40761403805]","[-17.752722795632444, 35.622044494933625, -11.990954209460824, 7.414113886492785]"
104,"[5918.2773217708045, -4505.734338233667, 3029.1666794297907, 461.7019674543642]","[-20.055327425955614, 15.288010084183432, -10.260818205725476, -1.5389819160172837]"
105,"[621.5706858330919, -2925.817434180891, 2547.752228474412, 857.4528825001946]","[-2.0958766759278666, 9.9475307004156, -8.650554995356021, -2.88028976843369]"
106,"[5344.381505687999, -4000.9766687693145, 1315.7466849962225, 609.0889362028134]","[-18.174642703807518, 13.617191762433636, -4.473591949509545, -2.0412397542215373]"
107,"[1607.442294958148, -5228.987964510199, -474.0842589005891, -544.5400708036457]","[-5.466853464433871, 17.827970580795593, 1.6092117125970031, 1.874666815749703]"
108,"[3006.4751219621353, -3718.6471004688688, -2803.455454221555, -1402.692940912997]","[-10.260301352487712, 12.697017987045967, 9.554221365896492, 4.793002500157349]"
109,"[-3216.929836879043, -992.9420186215258, -4015.717346212331, -1542.2563832958344]","[11.032404529631297, 3.3959764317047725, 13.707239245282208, 5.272075412806753]"
110,"[-4313.404094698295, 39.558165587598744, -4851.636261515593, -2309.502492182537]","[14.802314942735133, -0.13501423844022797, 16.578427176778646, 7.889661714982721]"
111,"[-916.7381719486353, 226.92135550021104, -3720.7909570588963, -1425.723582598817]","[3.1554904448744554, -0.7775388652015682, 12.732020091826506, 4.873800330366448]"
112,"[-412.8466619876365, 178.04059613820326, -3646.3262902885544, -1634.2465689728717]","[1.4295890850804227, -0.6109896912562365, 12.482931392030109, 5.5770747088304145]"
113,"[256.37263748312034, -381.4795116673702, -2522.1518329883547, -1741.3590036549472]","[-0.883288499509918, 1.314964497763246, 8.638746918808769, 5.945511684764334]"
114,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
115,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
116,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
117,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
118,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
119,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
120,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
121,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
122,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
123,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
124,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
125,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
126,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
127,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
128,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
129,"[5159.094488707507, -570.0069656971554, 2514.909609274053, 10460.722980845338]","[-17.285465556854117, 1.9348270790701076, -8.406564202912994, -34.837787944436556]"
130,"[2587.5117725642, 1505.9710358699408, 2689.572392347156, 11783.041380579354]","[-8.681972319738584, -5.007403708478856, -8.987850788085117, -39.26256769457205]"
131,"[1742.709794385164, 1230.6504888911575, 2722.2556590554454, 13078.587755679153]","[-5.86239561791197, -4.088795270896206, -9.103768722961515, -43.64560866186654]"
132,"[-2053.624947420739, 1833.4247592144088, 428.70529698796037, -12741.249194586464]","[6.875048158402345, -6.115796947636218, -1.4311285575536417, 42.59098267797622]"
133,"[-36.696311513354914, 1175.699016440609, 675.3154408107139, 11962.422018410385]","[0.11072209937326583, -3.9176797383225885, -2.2574760694362896, -40.00760718849842]"
134,"[5350.819195987793, -282.1913871369234, 674.6116046630647, 8678.150002984363]","[-18.01452247755615, 0.9738822769729469, -2.2592358111378372, -29.05092257639178]"
135,"[-3328.7808706769765, -1895.8376865085102, 121.42169719277625, 613.1839462848901]","[11.20239586227999, 6.402509805449846, -0.4022275337768106, -2.037032083907964]"
136,"[2685.4760032689655, -6930.297827940755, 267.85649619387743, 6088.174731269128]","[-9.064292005802594, 23.37093023965589, -0.8945994553346029, -20.465879542756195]"
137,"[-3016.6603094863553, 1372.7632275806386, 3387.070706341675, 5615.854642841842]","[10.174001273288972, -4.6168066997081425, -11.420334074248515, -18.91589359702524]"
138,"[3295.228836107013, -2482.312367878857, 4664.839162419585, 3478.014835172202]","[-11.149291938081728, 8.414053882740912, -15.76311095836138, -11.736404720399104]"
139,"[7550.813505928832, 5661.843724468015, 3401.270964214121, 3480.455210499996]","[-25.579735481663192, -19.179006752626773, -11.507574066658755, -11.758828604629132]"
140,"[4894.313904862849, 2060.64137872383, 3984.385840446153, 2668.4827237244535]","[-16.608170037467666, -6.984619741513393, -13.508785032978864, -9.028161850569484]"
141,"[8557.966633118156, -2843.7204383316166, 7004.579364367639, 2031.4478800064603]","[-29.109863404963008, 9.679433363568863, -23.779350391731718, -6.879627727790511]"
142,"[8612.248547429568, 3363.8358694879485, 4057.7179518061916, 1536.929636428986]","[-29.324117817155322, -11.459118105083448, -13.796753484409535, -5.213138507531355]"
143,"[6908.801500187522, 1462.7093643620663, 1633.8844366338196, 1615.685179061785]","[-23.59013445984181, -4.990741218369068, -5.5555606330464204, -5.4793297569364565]"
144,"[-2910.835682502178, -2488.572331809563, 2359.7641838746254, 1337.705503909893]","[9.902715299149426, 8.477103500484226, -8.018703327591366, -4.529140072443201]"
145,"[-4501.334134391772, -3731.2789785386594, 1565.312133520625, 1384.348852649467]","[15.34521076652297, 12.740724018912765, -5.328652129301175, -4.685601566439621]"
146,"[-2361.334337548137, -2216.555092061614, 1062.0727496825375, 1385.357392412341]","[8.068288702696522, 7.562655662510646, -3.6146580523202685, -4.687252132599433]"
147,"[-3955.1897990103143, -1257.5344760664375, 522.7546095251897, -282.1970678991317]","[13.498364824098863, 4.278786074506145, -1.7781182192286575, 0.9414408110796524]"
148,"[-7351.9341482319405, -729.3786807930547, 1275.5596639967116, -686.5916622523666]","[25.008412755228203, 2.4695745450175774, -4.308388716005517, 2.295706927170269]"
149,"[-2157.602659992465, -59.34802359184578, -59.83622320036789, -727.8176933978268]","[7.327444011737097, 0.19824286896881588, 0.18754827610525873, 2.4169667803019808]"
150,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
151,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
152,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
153,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
154,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
155,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
156,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
157,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
158,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
159,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
160,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
161,"[-1088.9608145946515, -1688.7208253983088, -4085.3743991484603, 6778.689567627748]","[3.636933760197467, 5.634092057989513, 13.532833441388812, -22.439038211801577]"
162,"[462.6036897732303, -1917.1572493066267, -261.1129393970522, 6756.399118175587]","[-1.5494094974553216, 6.393142166740967, 0.8462924700256669, -22.360853225118852]"
163,"[4021.485173609397, -2037.7901121605976, 965.6902111516087, 3371.426067083309]","[-13.440762301336381, 6.789911611559302, -3.220477625072541, -11.156412935155316]"
164,"[-413.57472725892177, -1531.6034601296342, 2137.3235923851826, 3338.716306975336]","[1.3768563359168597, 5.116447282789856, -7.132127407186825, -11.067259560432822]"
165,"[-626.0210530875283, -1285.4917734048704, 3272.7791225287424, 2273.399576614223]","[2.083747357490141, 4.290071253658293, -10.90765498948808, -7.524206863036636]"
166,"[-203.02335321935593, -5303.869722975724, 3983.799906625847, 1281.6686272316563]","[0.6673561697698326, 17.715754185674943, -13.280823183950838, -4.244623771774524]"
167,"[-434.48397288903664, 165.5309912608465, 3561.7395834769, 1044.9582645298826]","[1.443858256330012, -0.5554978739334995, -11.876258814826288, -3.4670484471488385]"
168,"[-2591.184439308363, -1493.992364437139, 4838.648469035169, 1406.944746965925]","[8.664808058872604, 4.9945892880517375, -16.12773017863873, -4.670718760944703]"
169,"[2431.0394695844784, -680.7855394321571, 4613.273260367591, 552.0817972877385]","[-8.15341330709479, 2.2740589555023827, -15.379789862309899, -1.8361199094483833]"
170,"[611.4048740143377, -69.66243654758186, 3488.6187353668324, 459.0793458462645]","[-2.0596163609811167, 0.2296031384472838, -11.63176223722562, -1.5273517388610427]"
171,"[3911.5924166762447, 157.37067262988288, 3717.6919668834075, 1760.8008526955084]","[-13.126826122788687, -0.5294112311035071, -12.383867447772115, -5.844515903436459]"
172,"[-680.4986742782295, -21.813131783844486, 1518.1865357071792, -481.95913491605995]","[2.2730729644743435, 0.07152546366340191, -5.067783830663756, 1.5924867200489048]"
173,"[-1483.3599229335543, 882.4047662103003, 2258.999324426873, -1543.5740091398277]","[4.962607025813184, -2.9487574528795624, -7.531935440665764, 5.112929537724692]"
174,"[-2209.8383129960007, 773.9103908104913, 4546.256336364875, -517.62619308318]","[7.38729822582904, -2.5827386095719196, -15.117028899768862, 1.716026726968194]"
175,"[670.7249995825225, 2587.4956693432982, -1138.6799144355803, -2357.147954790606]","[-2.247352254779427, -8.622550253352323, 3.7636403008878037, 7.813738980028117]"
176,"[-1225.4114386773754, 1342.1877678903732, 1937.2187093833395, -2938.9954191118873]","[4.08582834484883, -4.468474492848157, -6.451125169405668, 9.738044799902699]"
177,"[-2592.384797776465, 2559.0217438268724, 730.3267315973635, -337.25383462036814]","[8.64616257003474, -8.51861206471844, -2.439597733763204, 1.120924317575304]"
178,"[408.344137357949, 135.0119338757659, -738.1857032110695, -119.92988141718499]","[-1.3685064852316216, -0.4440590800112256, 2.439621586203848, 0.4021801495627395]"
179,"[1495.0436507585807, -1357.1791758872932, 1638.6764760273368, -352.70346884479505]","[-4.988639731005046, 4.522529601069065, -5.445370874124677, 1.1739336503394324]"
180,"[-3495.082908685432, -682.8938558145801, 4430.303967277713, -209.61323201284137]","[11.61328772509292, 2.281578340451658, -14.732512170932898, 0.6962275532094282]"
181,"[-4944.6335839240655, -451.7051944698847, 2097.260387449041, 337.4944328425959]","[16.429963693854333, 1.5162231455274833, -6.975545078657778, -1.1199397602104013]"
182,"[3811.221270201845, -2676.224044608798, 2728.55939471472, 524.3182547298785]","[-12.688429208645587, 8.927434247097787, -9.086422407220795, -1.741931924761294]"
183,"[3499.6547175199316, 2439.0317042224838, 596.5130315164992, 826.9719122416514]","[-11.650181057601301, -8.11470657080388, -1.987221241830743, -2.7523349734831126]"
184,"[4479.735598384212, 5054.004375777093, -2898.566384648916, 351.37485229614583]","[-14.932351374021268, -16.848282014053392, 9.673356106595582, -1.1698656823518665]"
185,"[3641.1339421609005, 989.3742689123682, -2403.9837290336077, 418.09322189638107]","[-12.14296294172746, -3.288812355670546, 8.02137840522586, -1.3883423660312113]"
186,"[5009.456601572752, -123.04712343108909, -2059.8602719014248, -46.75019134142834]","[-16.726159584006922, 0.42287387840253715, 6.8720707485634085, 0.1534977610689899]"
187,"[5064.606071024001, -3460.307706566722, -6433.317154596165, -1234.256671169365]","[-16.914162458774722, 11.555222267102176, 21.41801875472597, 4.094595102645921]"
188,"[6728.121933439457, -3371.5260303645423, -396.55348919470066, -1834.6075480474888]","[-22.474260380450932, 11.244019939072885, 1.330336751002764, 6.077938636936361]"
189,"[2497.2211345908754, -991.9458623283876, 1292.4749881351602, -3525.591722971867]","[-8.343534879237437, 3.3083998546172992, -4.272774065110032, 11.662221668217231]"
190,"[-45.18343055564546, -1830.4615028718642, -2262.7996635189397, -1975.468360392077]","[0.14545489908632123, 6.087482639159293, 7.498536852391328, 6.523861437151977]"
191,"[2122.41656816319, -2646.619637722094, -4917.198004914221, -2155.0729750547557]","[-7.079775201880691, 8.781160737105516, 16.24531418568889, 7.097973524162237]"
192,"[1156.6209523800387, -2433.4619878604763, -367.573666684836, -2202.940573148484]","[-3.857299465419959, 8.068196311714111, 1.2220985387550956, 7.248054935284683]"
193,"[1360.131144370774, -2649.8802200880723, 368.0311728653546, -2461.283862071616]","[-4.531913204721312, 8.779636440804913, -1.2015625268860597, 8.092115445028888]"
194,"[1399.6342108536046, -2151.224362444478, 1198.1548495085174, -1547.5675055678455]","[-4.657569470045419, 7.123822465444106, -3.9372122492411057, 5.079859416943669]"
195,"[1724.9169280532142, -1347.593129394292, 1943.321430632989, -1006.8623412115309]","[-5.735319359851765, 4.466453341663217, -6.392749884853541, 3.2970446179585564]"
196,"[865.4326514933459, -1639.0605222854574, 2396.881459120951, -1636.8135072420012]","[-2.8801921658220984, 5.430096068882385, -7.893528358152686, 5.3647339363054645]"
197,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
198,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
199,"[1449.1203481990879, -2400.645131770032, 778.7596389266893, -822.2894369089918]","[-4.8370972934136365, 8.003063851993026, -2.581085258338075, 2.700283520192121]"
200,"[2516.3595014083176, -2720.109350723862, 519.5509969086585, -975.2805064938448]","[-8.39328991522868, 9.058936077965404, -1.7202540432176625, 3.2065319111115507]"
