,a,b
160,"[nan, nan, nan]","[nan, nan, nan]"
161,"[2422.2977175871197, 1054.4193625135977, -1765.4363289967964]","[-8.039848448386113, -3.504623257798518, 5.856846891311523]"
162,"[2008.0468653069263, 1347.824340170856, -2394.7965794550278]","[-6.665740762385527, -4.469181038046929, 7.937181943702189]"
163,"[1503.0160304481153, 1589.3973509232433, -3591.6970632209823]","[-4.994089594915139, -5.264707760162599, 11.890790949526473]"
164,"[182.73926992649527, 1378.1527160961057, 5096.975716306641]","[-0.6165595977875211, -4.565935828946204, -16.894423728653344]"
165,"[-186.88545006859516, 1740.4172418543199, -341.62625616123944]","[0.6082804605539278, -5.757958244414286, 1.135791583895495]"
166,"[-48.11010603641948, 1738.9377796626811, -558.9301758659536]","[0.14854233314018572, -5.749043731443053, 1.8519784476211312]"
167,"[-338.92202499565957, 2087.482089853056, 1162.6513182025465]","[1.1129238297436932, -6.906213726689471, -3.8402261347292943]"
168,"[-916.0755046081296, 1880.3721544157552, -2044.407097249247]","[3.0281177826271346, -6.227249969711068, 6.766828240863533]"
169,"[-663.091856770767, 2830.176857281576, -4039.2207959460557]","[2.188370754268444, -9.373609459078807, 13.351415113875312]"
170,"[-10.226178269952916, 2618.8126412409656, -3180.8308828276604]","[0.029241562075352542, -8.678954272723834, 10.510179080422079]"
171,"[58.99869181275124, 2626.112441942743, -719.4661197952322]","[-0.19659596326601952, -8.706014996986879, 2.3767100682419984]"
172,"[-71.36616519849214, 1614.6233741305257, -563.9912748378044]","[0.23343355447341188, -5.356341239872028, 1.8617225101002788]"
173,"[-239.45723510998104, 4573.534505461865, 105.72389639795529]","[0.7896372512812471, -15.165396507667566, -0.3474197182043229]"
174,"[-846.0758228972941, 4093.645834474591, -760.7432395607202]","[2.7957819407995452, -13.579007896518407, 2.5178092520659967]"
175,"[-308.71530207894085, 2858.265312522005, -963.7569905838061]","[1.0194406392065962, -9.482551417666317, 3.188795913382161]"
176,"[-3.3915557616119067, 2393.7667030005678, -1279.781190332943]","[0.006966503865429169, -7.9397674295130845, 4.229485200753328]"
177,"[1651.3827477902207, 1747.5418386052556, -1187.1225198126372]","[-5.465257956050246, -5.79245018480172, 3.9247228661556868]"
178,"[989.6932887291914, 2873.8043956992146, -1519.413822727628]","[-3.2784218951826998, -9.51069087433022, 5.02501323242565]"
179,"[-536.4372519451437, 3755.335862164662, -377.13398080935445]","[1.7703339538175569, -12.42783562307915, 1.248273423146449]"
180,"[-1110.8715639973368, 2786.6921157689935, 85.74911537928956]","[3.677366287619171, -9.217054611467443, -0.28226758771829547]"
181,"[-1688.7855480551739, -1781.5967631030264, 151.80224246955763]","[5.597488857001005, 5.900297641391986, -0.49995367161418663]"
182,"[-1823.9293951173427, -1735.1015975761, 707.7872287645789]","[6.043119950191327, 5.746162903281286, -2.3405549952689397]"
183,"[-1868.1876880927523, -991.4027207511208, -1273.5207080829266]","[6.18666070897753, 3.2842209715819286, 4.210721550627368]"
184,"[-2513.743023289392, -2561.993038807929, 401.41395456669915]","[8.312858730943965, 8.481565274319863, -1.324166690508127]"
185,"[-3029.528439233738, -2268.6569991484466, 1254.7456349730014]","[10.03234466940443, 7.517198357299478, -4.143516338300887]"
186,"[-2294.990401854648, -3017.3761919502763, 3669.8057023800075]","[7.597280970194251, 9.985989887553933, -12.1236571278189]"
187,"[2604.5763799733622, 1696.403378267037, 1736.9536274118227]","[-8.63189354156363, -5.615730644346682, -5.736966631647152]"
188,"[-1443.5808693271413, 1959.785901486277, -314.8570827515705]","[4.769588250722407, -6.481925887859245, 1.0402338287673998]"
189,"[-1862.0910116884036, 3395.159772874689, -341.41498340146967]","[6.155907781197847, -11.222037886648902, 1.1262907053598223]"
190,"[-1942.0052215998521, 2400.36839403409, -422.4736954248007]","[6.419836361399032, -7.936963728314787, 1.3942814136590995]"
191,"[420.02316304961096, 141.67754921977632, 399.9728299679256]","[-1.3994666003748804, -0.4750841563234216, -1.3226337678450544]"
