,a,b
82,"[21943.90170218353, -23201.631253253814, 4379.471490547167]","[-72.6464773944447, 76.71928516872411, -14.48356278443252]"
83,"[19552.072257399344, -13272.022073514476, -5577.020631674581]","[-64.62587738435506, 43.85797828741447, 18.434528776788394]"
84,"[14987.420650265005, -32083.175663284903, -18206.516406067174]","[-49.5270499206762, 106.13018459877439, 60.242306727729826]"
85,"[4981.730233286686, -26027.660542184207, -6296.646754533637]","[-16.4365450325829, 86.1374110901694, 20.85834969805718]"
86,"[3208.1177478237123, -12169.083590766806, 20144.741905180734]","[-10.575800742296288, 40.24895018744399, -66.72610113987412]"
87,"[-2172.8671236471187, -11276.58679246791, 44978.02725970637]","[7.212639391431235, 37.312629705843946, -149.0143073410393]"
88,"[-13107.429175845082, 6363.505155324815, 23774.841878647523]","[43.42494301100934, -21.112460424464853, -78.82539733883627]"
89,"[-5489.633689545114, 11308.977566757245, 8103.532069077538]","[18.178564424064287, -37.5027778151004, -26.912565503510734]"
90,"[-5593.893138325637, 24892.777493125628, 12396.109463213068]","[18.53941100598526, -82.62964964097861, -41.16807433105664]"
91,"[-5018.388564464303, 5937.407149317897, -6332.573154832353]","[16.65109323455897, -19.72891817517497, 21.010266190207545]"
92,"[-1477.4043588262455, -23218.101054990446, -38.454138242717434]","[4.885801362325879, 77.20262972946874, 0.10205321665494568]"
93,"[-1358.8928910345082, -8499.279448121486, 2129.666318280099]","[4.5017138144223745, 28.271854410818698, -7.096674916550523]"
94,"[-2398.1814052559835, -13076.708286276784, 96.70575931518954]","[7.9837982194929715, 43.54791954623794, -0.33598981424321844]"
95,"[190.11055316521475, -1074.655043017703, -927.8113880502223]","[-0.6470357887646327, 3.5642323402256038, 3.0757488558292017]"
96,"[2395.132928290241, 4323.45324974617, -2666.1198771304003]","[-8.010829618211813, -14.451349675989077, 8.887217531157722]"
97,"[2434.3873125624045, 4882.451511953272, -3180.034050513624]","[-8.148097357454057, -16.329035650011832, 10.614427586569239]"
98,"[1307.981452315368, -8100.482106603454, -9368.653915876921]","[-4.381183003357885, 27.0989938235322, 31.313712114717752]"
99,"[-699.8147674971414, 4532.681122211393, -11629.420719578357]","[2.349452121546545, -15.17294820686197, 38.92630797120386]"
100,"[804.5855905010224, -4291.736805843104, -3911.0010420263893]","[-2.698474304697324, 14.410709821700902, 13.09797708537044]"
101,"[1095.3024487685198, 4790.525000289295, -3024.466749893756]","[-3.680298362153888, -16.043900844079406, 10.140400152846379]"
102,"[767.4121277006332, 14020.793518020659, -1643.5728811556162]","[-2.581733347070387, -47.10509625553712, 5.5207269017584615]"
